"filename", "language", "Markdown", "Sass", "SCSS", "HTML", "YAML", "JSON", "BibTeX", "Shell Script", "JSON with Comments", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"/mnt/nodo/Repos/website-version-1/_layouts/leadgen-verify.html", "HTML", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/mnt/nodo/Repos/website-version-1/_layouts/membership-application-success.html", "HTML", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/mnt/nodo/Repos/website-version-1/_layouts/membership-form.html", "HTML", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"/mnt/nodo/Repos/website-version-1/_layouts/membership-invalid-data.html", "HTML", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"/mnt/nodo/Repos/website-version-1/_layouts/portals.html", "HTML", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/mnt/nodo/Repos/website-version-1/_layouts/post.html", "HTML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/mnt/nodo/Repos/website-version-1/_layouts/project.html", "HTML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20
"/mnt/nodo/Repos/website-version-1/_layouts/search.html", "HTML", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"/mnt/nodo/Repos/website-version-1/_layouts/services.html", "HTML", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"/mnt/nodo/Repos/website-version-1/_layouts/status-message.html", "HTML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/mnt/nodo/Repos/website-version-1/_layouts/surveys.html", "HTML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/mnt/nodo/Repos/website-version-1/_layouts/tag-archive.html", "HTML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/mnt/nodo/Repos/website-version-1/_layouts/tags.html", "HTML", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"/mnt/nodo/Repos/website-version-1/_posts/2019-10-03-focos.markdown", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 46
"/mnt/nodo/Repos/website-version-1/_posts/2019-10-11-mascotas.markdown", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 14, 52
"/mnt/nodo/Repos/website-version-1/_posts/2019-12-07-pilas.markdown", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 19, 86
"/mnt/nodo/Repos/website-version-1/_posts/2020-20-09-encuesta2019-01.markdown", "Markdown", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 61, 126
"/mnt/nodo/Repos/website-version-1/_posts/2020-22-09-baterias-autos.markdown", "Markdown", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 53, 140
